ID	Product	Protocol	Fingerprint	F. Type	Shodan	Censys	Fingerprint Type	Fingerprint proposed by	Support	Status	BITSIGHT COMMENTS	Implemented on	Provided by Schneider	Remarks (Schneider)	Groma Implemented Date	Groma JIRA Ticket	Groma CPE	CPE Review (SE)
91	ION7400	HTTP	services.http.response.favicons.hashes="sha256:625fdabb80fcd63114fdd15a0e1a3c4b24583b92537131fb4d69907638b7b516" and services.tls.certificates.leaf_data.issuer.common_name:"ION7400"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
92	PM8000	HTTP	services.http.response.favicons.hashes="sha256:625fdabb80fcd63114fdd15a0e1a3c4b24583b92537131fb4d69907638b7b516" and services.tls.certificates.leaf_data.issuer.common_name:"PM8000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
93	ION9000	HTTP	services.http.response.favicons.hashes="sha256:625fdabb80fcd63114fdd15a0e1a3c4b24583b92537131fb4d69907638b7b516" and services.tls.certificates.leaf_data.issuer.common_name:"ION9000"	favicon hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
94	ION7400	HTTP	services.http.response.favicons.name="data:image/x-icon;base64,AAABAAEAEBAAAAEACABoBQA...AAAAAAAAAAAAAAAAAAABAAA=" and services.tls.certificates.leaf_data.issuer.common_name:"ION7400"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
95	PM8000	HTTP	services.http.response.favicons.name="data:image/x-icon;base64,AAABAAEAEBAAAAEACABoBQA...AAAAAAAAAAAAAAAAAAABAAA=" and services.tls.certificates.leaf_data.issuer.common_name:"PM8000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
96	ION9000	HTTP	services.http.response.favicons.name="data:image/x-icon;base64,AAABAAEAEBAAAAEACABoBQA...AAAAAAAAAAAAAAAAAAABAAA=" and services.tls.certificates.leaf_data.issuer.common_name:"ION9000"	favicon hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
97	PM800	HTTP	Basic realm="PowerLogic® PM800 "	Basic realm		Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 60		9/13/2024
98	PM800	HTTP	services.http.response.body_hash="sha1:4a0ce7771f79aaa328cfe0886d58110ff5f53239"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
99	PM800	HTTP	services.http.response.body_hashes="sha256:898c29396b76487e58ff7597d156b59edd3b3f22e86b49e11cc2ab10d745ea88"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
100	EGX100	HTTP	services.http.response.headers: (key: `WWW-Authenticate` and value.headers: `Basic realm="EGX100"`)	http header		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
